"maternal","paternal","num_offspring","site","chemotype"
"M4069",4071,2,"Rouse",1
"M4069",4072,4,"Rouse",1
"M4069",4073,4,"Rouse",0
"M4069",4084,1,"Rouse",0
"M4069",4104,2,"Berwind",0
"M4071",4061,2,"Walsenburg",1
"M4071",4069,3,"Rouse",1
"M4071",4084,3,"Rouse",0
"M4072",4186,1,"HB",0
"M4073",4103,1,"Berwind",1
"M4074",4069,1,"Rouse",1
"M4074",4130,1,"Berwind",NA
"M4076",4070,1,"Rouse",1
"M4076",4077,1,"Rouse",1
"M4076",4081,1,"Rouse",1
"M4077",4078,3,"Rouse",0
"M4077",4092,1,"Rouse",1
"M4078",4079,4,"Rouse",1
"M4078",4087,1,"Rouse",1
"M4080",4025,1,"Walsenburg",1
"M4080",4060,1,"Walsenburg",1
"M4080",4162,1,"Ludlow",0
"M4081",4097,1,"Rouse",0
"M4081",4101,2,"Rouse",1
"M4081",4104,2,"Berwind",0
"M4082",4086,1,"Rouse",1
"M4082",4187,1,"HB",1
"M4083",4090,1,"Rouse",1
"M4083",4095,4,"Rouse",0
"M4083",4158,1,"Ludlow",0
"M4084",4005,1,"Walsenburg",1
"M4084",4011,1,"Walsenburg",1
"M4084",4163,1,"Ludlow",0
"M4085",4090,3,"Rouse",1
"M4085",4156,1,"Ludlow",0
"M4086",4071,1,"Rouse",1
"M4086",4079,1,"Rouse",1
"M4086",4158,1,"Ludlow",0
"M4088",4061,1,"Walsenburg",1
"M4088",4087,1,"Rouse",1
"M4089",4092,2,"Rouse",1
"M4089",4097,1,"Rouse",0
"M4090",4077,1,"Rouse",1
"M4090",4086,1,"Rouse",1
"M4090",4091,2,"Rouse",0
"M4090",4124,1,"Berwind",0
"M4091",4002,1,"Walsenburg",0
"M4091",4103,1,"Berwind",1
"M4091",4116,1,"Berwind",NA
"M4091",4117,1,"Berwind",0
"M4093",4163,1,"Ludlow",0
"M4095",4096,1,"Rouse",0
"M4098",4089,1,"Rouse",0
"M4100",4003,1,"Walsenburg",1
"M4100",4024,1,"Walsenburg",1
"M4100",4035,1,"Walsenburg",1
"M4100",4057,1,"Walsenburg",1
"M4100",4077,1,"Rouse",1
"M4100",4080,1,"Rouse",1
"M4100",4086,4,"Rouse",1
"M4100",4090,1,"Rouse",1
"M4100",4132,1,"Berwind",1
"M4100",4145,1,"Ludlow",1
"M4100",4188,1,"HB",1
"M4100",4196,1,"HB",1
"M4101",4102,1,"Rouse",0
"M4101",4142,1,"Ludlow",1
"M4101",4180,1,"HB",1
"M4102",4073,2,"Rouse",0
"M4102",4104,5,"Berwind",0
